"품목코드","품목분류","모델명","정식품목","세부사양","메모","작성자","작성일자","수정일자","최근사용자"
"03DDA7DCEBB1A3429C67A4A48FBCE773","11.기타Software",ADAMS,"Adams Studio Package(Adams View, Adams Exchange, a","","Adams Studio Package(Adams View, Adams Exchange, and Adams Solver)
Paid-up 28,400,000
E&S        5,680,000",ktkim,2014-03-03 00:00:00.000,2014-03-03 00:00:00.000,ktkim
"0613C6D008DC75458BBB7E361D7201E0","09.제품관리","",SolidWorks Enterprise PDM,"","",admin,2007-08-29 00:00:00.000,2008-11-03 00:00:00.000,mihwa
"06B347A09D7F36459BFF6426A3BF2F50","08.기타",Liebert Line-Interactive UPS,Liebert PSI 3000VA/2700W 230V 2U PF 0.9 Rack/Tower,"","",ktkim,2014-04-10 00:00:00.000,2014-04-10 00:00:00.000,ktkim
"06BCD0510F8002428B70CB37BB59E9FD","01.SolidWorks 관련",elecworks for SolidWorks,elecworks for SolidWorks," - elecworks 데이터 import
 - 2D 배선도 3D자동 구성 및 확인
 - elecworks 와 SolidWorks 양방향 Update
 - 케비넷, 덕트, 레일 등 3D 라이브러리 제공
 - 전장 부품 자동 조립, 자동 구성
 - SolidWorks 도면 elecworks에서 확인
 - 부품 리스트 (BOM) 양방향 Update","",chuls,2012-01-05 00:00:00.000,2012-01-05 00:00:00.000,chuls
"074A3B3B1B9E59488D47AB1004DF81C3","04.HW 관련",HP SERVER,DL360G5,"HP DL360R05 Quad-Core 2.66GHz, 2X1GB SFF SATA/SAS  P400i/256MB (재고소진시 까지)
Cpu        : Quad-Core Intel® Xeon® processor 5400/5300 sequence [Max : 2ea]
Cache   : 12MB (2 x 6MB) Level 2 cache (5400 sequence)
Memory :  PC2-5300 DDR2 667 (8DIMMs Max:32GB)
NIC        : Dual NC373i Multifunction Gigabit Network Adapters
PCI Slot(2PCI) : 1 full-length x8 PCI-Express slot
                             1 low-profile x8 PCI-Express slot
Controller : Smart Array P400i Controller with 256MB cache (RAID 0/1/5)
HDD Bay  : 4 x SAS/SATA hot plug drive bays standard(2bays Optional)
USB : 4*USB Ports [1 x front, 2 x rear, 1 x internal]
Optional CD, DVD, DVD/CD-RW, or Floppy/1U
700W power supply, redundant optional
ATI ES1000 1280 x 1024 x 16M color (32MB video standard)
146GB 10k SAS 2.5 HP HDD ALL
Slim Line CD-RW/DVD-ROM 24X Combo Drive Option Kit
PS Assy  DL360 HT PLG PFC Kit( 리던던트파워)
Windows Svr Std 2008 R2 Korean OLP NL(32Bit, 64Bit) 
Windows Server 2008 Korean OLP NL User CAL x 5
Windows Svr Std 2008 R2 Korean 설치 Media CD x 1
OfficeScan Server 8.0(NT용)
","",misjid,2009-05-08 00:00:00.000,2009-05-18 00:00:00.000,misjid
"0822FC6EC64F7848A5936B98711E7C20","04.HW 관련",서버용S/W,window server 2008 korean,"","",misjid,2009-05-18 00:00:00.000,2009-05-18 00:00:00.000,misjid
"08EE337DFA0C9F48A9C58F3B9119932A","00.Subscription Service",SOLIDWORKS Plastics Standard,SOLIDWORKS Plastics Standard Subscription Service," - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 (1 Seat 당 1명 기준)
    - 쿠폰 2장 제공
 - nodeDATA On-Line 교육(Webcast)
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여
    - 기술 문서 및 동영상 열람
 - 최신 뉴스레터 제공
 - Disable Request Service(라이선스 재 활성)
 - DX TOOL 제공
 - SOLIDWORKS Customer Portal 이용 
    - Service Request / Enhancement Request / Knowledge Base
 - SOLIDWORKS Beta 체험 및 Awards
 - 계약기간 : 1년간 (2015.mm.dd ~ 2016.mm.dd)
 - 대상 S/N :","",ksehee,2015-02-26 00:00:00.000,2018-11-30 00:00:00.000,intia
"08F2443F0DA04640B791FEE64F9D606A","01.SolidWorks 관련",SOLIDWORKS Electrical Professional,SOLIDWORKS Electrical Professional,"- SOLIDWORKS Electrical 2D 포함
   - 직관적인 전기 회로설계 Software
   - 전기, PLC 회로설계 자동화
   - 회로설계 프로젝트 관리
   - 연관 회로도 양방향 업데이트
   - 전기, PLC 라이브러리 제공
   - single line diagram 작성
   - cable 구성 및 간편한 wire 속성확인 및 선택
   - cable 연결정보 생성, 변경정보 자동 Update
   - 구성 부품 BOM 생성

 - SOLIDWORKS Electrical 3D 포함
   - SOLIDWORKS Electrical 2D 데이터 import
   - 2D 설계회로 3D자동 구성 및 확인
   - SOLIDWORKS Electrical 2D 와 SOLIDWORKS 양방향 Update
   - 케비넷, 덕트, 레일 등 3D 라이브러리 제공
   - 전장 부품 자동 조립, 자동 구성
   - SOLIDWORKS 도면 SOLIDWORKS Electrical 2D에서 확인
   - 부품 리스트 (BOM) 양방향 Update
   - 3D 전기배선 자동 작성 및 최적화
   - 전기배선길이 자동계산
   - 케이블 길이 및 속성 BOM작성
- 교육 2일 포함
- 라이브러리 구축 시 DATA Sheet 필요(고객이 제공 해 주어야 함) : 100개의 부품 무상 구축","",jmlee,2012-12-28 00:00:00.000,2015-02-02 00:00:00.000,ksehee
"095B0526C18E2C408EB39BAA2739131A","05.PDMWorks Enterprise 관련",SOLIDWORKS Manage PDM Professional CAD Editor,SOLIDWORKS Manage PDM Professional CAD Editor,"- 관리자 & 설계자용 (PMS) 
- 문서및 record의 검색, 미리보기,출력 
- CAD Data 미리보기 (eDrawings 활용) 
- CAD 데이터의 생성 및 편집 (SOLIDWORKS Add-in) 
- non-CAD 데이터 미리 보기/생성 및 편집 
- Project 진척 및 Timesheets 확인 및 수정 
- Dashboards 확인 및 보고서 작성 및 문서 생성 
- Process 및 기록 확인/ Process 시작 및 진행 
- PDM Workflow에 의한 Rrocess 실행 
- BOM 생성 및 수정 - Task 지정 및 수정 
- PDM workflows 에 포함","",kimhj,2019-07-05 00:00:00.000,2019-07-05 00:00:00.000,kimhj
"0992E3BC2312394B81CB0DFE1B82C1EC","06.AutoCAD 관련",AutoCAD 2011 EKTS DVD - Sub미포함,AutoCAD 2011 EKTS DVD - Sub미포함," - 능률화된 표준 관리 및 데이터 교환 무결성
 - 향상된 팀 공동 작업
 - 간편한 통합 및 고급 라이센스 관리
 - 강력한 CAD 플랫폼
 * 협력적인 설계 환경
    - 향상된 웹으로 출판
    - i-drop™ 기술
    - eTransmit
    - DWG 파일을 읽기 전용 DWF 파일로 변환하는 ePlot
    - 향상된 속성 추출
    - 쉽게 최근에 사용한 파일 미리보기 및 열기
    - 팀 공동 작업을 위한 회의 시작","",shpark,2010-09-07 00:00:00.000,2010-09-07 00:00:00.000,shpark
"09C6AFBD1AA28344AC6FAE739B434612","12.전략제품(보안)",SecureDISK,SecureDISK CAD(30 user),-10user와 동일,"",sjh,2014-07-14 00:00:00.000,2014-07-14 00:00:00.000,sjh
"0B85D5C816EEA846A2A0C98E6230A407","09.제품관리","",SolidWorks Simulation Professional + SolidWorks FlowSimulation,"","",nana,2008-02-25 00:00:00.000,2011-12-15 00:00:00.000,admin
"0E1F2B9AAF0C634ABDA0E9C66D3B791F","12.전략제품(보안)",시큐어디스크,[알약] 무상제공,"백신 알약 기업용 라이센스 (XXX user) 1년 무료사용권
백신 알약 server for linux 1년 무료사용권","",sjh,2014-08-06 00:00:00.000,2014-08-06 00:00:00.000,sjh
"0E644EB34F0CB34B8BDF2ABF35487852","07.SolidWorks 교육관련",제품설계컨설팅,제품설계컨설팅,"","",admin,2008-01-08 00:00:00.000,2008-01-08 00:00:00.000,admin
"117AF5B228C9574BB3B500950006A35B","00.Subscription Service","",SOLIDWORKS 인증시험," - Certification SOLIDWORKS Professional (년/4회)
 - nodeDATA 정기 시험 일정에 한 함","",admin,2015-01-28 00:00:00.000,2015-01-29 00:00:00.000,ksehee
"1584D4B0511C4543AA5B9DF5AC77AAED","01.SolidWorks 관련","",SOLIDWORKS Network Installation Fee,"",seat 수에 상관없이 시리얼번호당 1번만 붙음,nana,2009-02-17 00:00:00.000,2014-04-23 00:00:00.000,ksehee
"167AB7022AAE4A4DB00694C5B77FB566","12.전략제품(보안)",Mirageworks,Mirageworks Online Storage(MOS),"","",ktkim,2014-02-06 00:00:00.000,2014-02-06 00:00:00.000,ktkim
"16FDC3CDB45B2F4C90986F5F692C3854","04.HW 관련",Switch(L2),Summit X250e-24t,"24 10/100BASE-TX, 2 gigabit combo ports (2 			
unpopulated gigabit SFP and 10/100/1000BASE-T), 		2 SummitStack™ Stacking ports, ExtremeXOS™ Edge 		license, 1 AC PSU, connector for EPS-160 external		redundant PSU													
","",misjid,2009-05-08 00:00:00.000,2009-05-18 00:00:00.000,misjid
"173D818AEAF77F4BBE314177C032757E","01.SolidWorks 관련",PCB,SOLIDWORKS PCB,"1. Schematic 설계
 - 효율적인 인터페이스,계층 구조 설계
 - 심볼, FootPrint, 3D Body, Simulation 설정이 통합된 
    라이브러리를 제공
 - 설계 규칙 검토
2. PCB Layout 설계
 - 지능형 Routing( Interactivei Routing 기능)
 - Differential Pair Routing(Net의 전기적인 특성 오차 줄임)
 - Cross Probe(회로도와 PCB Layout의 배선 상태를 실시간으로
    확인)
 - 중복 배선 제거  
3. 3D 설계
 - 3D Modification  
 - 내층 Layer 확인 
 - 기구 파트 형합성 검사
 - Animation 생성","",ksllkd,2018-07-09 00:00:00.000,2019-07-04 00:00:00.000,kimhj
"1745962445E84D45B2D674687B791963","11.기타Software",S/W,Acrobat XI Win Kor AOO License,"

","",misjid,2009-05-27 00:00:00.000,2014-04-08 00:00:00.000,ktkim
"179A8CBEED0D5447827BA4AA4437C161","13. 3DEXPERIENCE Platform",UDR,Collaborative Designer for DraftSight,"- Derived Format Converter
  3DEXPERIENCE파일 형식으로 변환
- 3DEXPERIENCE Connector for DraftSight
  DraftSight 데이터를 3DEXPERIENCE platform에서 활용
  통합 된 제품 라이프 사이클 관리로 도면 데이터 관리
","",admin,2020-10-15 00:00:00.000,2020-10-15 00:00:00.000,admin
"17D61ECB7487D84892B5885056CE5BC4","01.SolidWorks 관련",SolidWorks Education Edition,Edu. Edition Reinstallation Fee,per school / per order,"",shpark,2009-11-25 00:00:00.000,2009-11-25 00:00:00.000,shpark
"1946BD8B9AC60941B1F5D9225F17C571","13. 3DEXPERIENCE Platform",XWBO,"3DEXPERIENCE SOLIDWORKS Professional Offer","- 3D Sculptor
   xShape
    서브디비전 모델링 기법
    복잡한 곡면 설계 가능
    산업 디자인용 색상표 이용하여 다양한 색상 정의

- 3D Creator
  xDesign
    Web상 3D Modeling Tool
    파라메트릭 모델링 기법

- 3DEXPERIENCE SOLIDWORKS Professional 
    Standard 기능 + 추가 기능
    Xtended Reality (XR) Exporter
    공차 누적 해석 (TolAnalyst)
    비용 고려 설계 (Consting)
    리버스 엔지니어링 (Scan To 3D)
    Sub-D modeling (with xShape App)기

- Collaborative Industry Innovator
   3D Markup
     언제든 어떤 장비로든 사용 가능한 웹 기반의 2D 및 3D 마크업
   Bookmark Editor
     컨텐츠와 문서 협업을 위한 북마크 생성 및 관리
   Chage Action
     변경 조치 생성, 할당, 관리를 통한 모든 관련 영역을 아우르는
     명확한 변경 결정 커뮤니케이션
   Collaborative Lifecycle
     제품 컨텐츠의 생성, 검토, 출도, 폐기 단계를 관리 및 캡처
   Compare
     두 모델을 비교하여  차이점을 찾기 위한 손쉬운 비교
   3D Space
     협업 공간 생성, 관리, 멤버 추가 및 저장된 컨텐츠에 바로 접근
   Issue 3D Review
     3D 모델의 맥락에서 제품의 문제 식별 및 분석
   Issue Management
     제품의 문제를 팀 구성원들 간 생성, 구성 및 전달
   Product Explorer
     3D 시각화 및 트리 구조화를 통한 컨텐츠 탐색
   Route Management
     3D Dashboard 내 승인 경로 생성 및 관리

- Collaborative Business Innovator
  3D Dashboard
    업무 최적화를 위해 필요한 기능(app) 구성 가능
    실시간으로 다른 팀원들 진행 상황 모니터링
  3D Swym
    공지사항 포스팅
    작업 지시
    기술 문서 공유 및 관리
  3D Drive
    안전한 데이터 공유 가능
    링크 통해 외부 인원과 공유
    SOLIDWORKS 데이터를 통합하여 다이렉트로 오픈 가능
  3D Play
    3D 모델 데이터 뷰어
    CAD 없이 웹 브라우저를 통하여 언제든지 접근 가능
    측정, 주석, 마크업 추가하여 상세한 리뷰 가능
  3D Search and 6WTags
    데이터 특성에 따라 원하는 데이터를 쉽게 검색","",admin,2020-10-15 00:00:00.000,2020-10-15 00:00:00.000,admin
"1A8E04045EE76A4E9980474938BF85A9","02.해석 제품",SolidWorks Flow Simulation 교재 (영문),SolidWorks Flow Simulation 교재 (영문)," Introduction, Lesson1. Creating a SolidWorks Flow Simulation Project, Lesson2. Meshing, Lesson3. Thermal Analysis, Lesson4. External Transient Analysis, Lesson5. Conjugate Heat Transfer, Lesson6. EFD Zooming, Lesson7. Porous Media, Lesson8. Rotating Reference Frames, Lesson9. Parametric Analysis, Lesson10. Cavitation, Lesson11. Relative Humidity, Lesson12. Particle Trajectory, Lesson13. Supersonic Flow, Lesson14. FEA Load Transfer","",shpark,2010-12-09 00:00:00.000,2015-02-05 00:00:00.000,admin
"1AD10604066E0B429FBCA146D1E6C9C5","01.SolidWorks 관련",Reversion Fee SOLIDWORKS,Reversion Fee SOLIDWORKS,"","",suuk,2011-01-20 00:00:00.000,2014-04-23 00:00:00.000,ksehee
"1B5DB531250F5148ABE227BF83769D1E","00.Subscription Service","",*** SS 세부사항 ***,"■ 솔리드웍스 유지보수 서비스 : 12개월
 #. DX TOOL 제공 : 노드데이타 개발 솔리드웍스 속성편집기(\2,000,000)
 - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 : On/Off Line 참여
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여(기술 문서 및 동영상 열람)
 - 최신 뉴스레터 제공
 - Disable Request Service 제공 (라이선스 재 활성)

 ■ 계약기간 : 1년간 (2023.01.01 ~ 2023.12.31)
 - 대상 License S/N :","",admin,2023-01-16 00:00:00.000,2023-01-16 00:00:00.000,admin
"1C24E23E2AEC134A9D64087ECF8F04AA","08.기타","3DVIA Composer 용역","3DVIA Composer 용역","1) 라이센스 대여비 150만원
2) 교수설계 비용 10 만원
2) 작업 비용 350만원 
    (1Day 기준 100만원 + 특근 50만원)
3) 출장 지원 90만원
    (1Day 기준 30만원)
4) 수정사항 별도 협의

작업 일
2010년 3월 13일, 15일, 16일

작업 시간
10:00 ~ 18:00

","",chuls,2010-03-12 00:00:00.000,2010-03-12 00:00:00.000,chuls
"1C75DB5652785840BFAA1618DF9816E4","11.기타Software",CATIA,MCE(Mechanical Product Creation) 연간사용료,"CATIA 고급 사양
- 고급 Solid 기능","",misjid,2010-01-25 00:00:00.000,2010-01-25 00:00:00.000,misjid
"1C7D15F68EE21549B46D782CB8F39DC4","08.기타","",KeyShot 4 Pro NL,"","",sjh,2014-01-14 00:00:00.000,2014-01-14 00:00:00.000,sjh
"1CBA6CB8DEDD8641A705331D2152E51B","00.Subscription Service",SOLIDWORKS Electrical,SOLIDWORKS Electrical Professional Subscription Service," - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 (1 Seat 당 1명 기준)
    - 쿠폰 2장 제공
 - nodeDATA On-Line 교육(Webcast)
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여
    - 기술 문서 및 동영상 열람
 - 최신 뉴스레터 제공
 - Disable Request Service(라이선스 재 활성)
 - DX TOOL 제공
 - SOLIDWORKS Customer Portal 이용 
    - Service Request / Enhancement Request / Knowledge Base
 - SOLIDWORKS Beta 체험 및 Awards
 - 계약기간 : 1년간 (2015.mm.dd ~ 2016.mm.dd)
 - 대상 S/N :","",admin,2013-10-02 00:00:00.000,2018-11-30 00:00:00.000,intia
"1E5C5D995EE92B48A59978DD23846748","08.기타",L3 Switch,WS-C3560G-24TS-S,"Catalyst 3560 24 10/100/1000 + 4 SFP + IPB Image
무상유지보수1년","",misjid,2009-05-29 00:00:00.000,2009-05-29 00:00:00.000,misjid
"20010402121010","04.HW 관련",삼성 - S750PT,삼성 - 모니터 SyncMaster 750P(T),"  -. 화면크기 17인치  
  -. 도트(픽셀)피치 0.26mm  
  -. 최대 해상도 1600×1200/76Hz  
  -. 모니터형태 CRT  
  -. 수평주파수 30~96KHz  
  -. 수직주파수 50~160Hz  
","",admin,2001-04-02 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20040215170522","03.ND 관련",SolidWorks,nodeWorks - Include Solidworks," - Include SolidWorks
 - include nodeManager
 - Data Management System
 - Single Window Integration in SolidWorks
 - Automated Revision Control
 - Project 기종별 관리
 - Auto BOM list
 - 전자결재
 - SolidWorks Explorer, eDrawing Viewer
 - Work Group Data Management
 - Automated Revision Control
","",admin,2004-02-15 00:00:00.000,2007-09-03 00:00:00.000,jhkim
"20040219182534","00.Subscription Service",SOLIDWORKS Subscription Service,SOLIDWORKS Standard Subscription Service," - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 (1 Seat 당 1명 기준)
 - nodeDATA On-Line 교육(Webcast)
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여
    - 기술 문서 및 동영상 열람
 - 최신 뉴스레터 제공
 - Disable Request Service(라이선스 재 활성)
 - DX TOOL 제공
 - SOLIDWORKS Customer Portal 이용 
    - Service Request / Enhancement Request / Knowledge Base
 - SOLIDWORKS Beta 체험 및 Awards
 - 계약기간 : 1년간 (2018.mm.dd ~ 2019.mm.dd)
 - 대상 S/N :","",shinil,2004-02-19 00:00:00.000,2021-01-19 00:00:00.000,ksd2046
"20040220095407","00.Subscription Service",SOLIDWORKS Professional Subscription Service,SOLIDWORKS Professional Subscription Service," - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 (1 Seat 당 1명 기준)
 - nodeDATA On-Line 교육(Webcast)
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여
    - 기술 문서 및 동영상 열람
 - 최신 뉴스레터 제공
 - Disable Request Service(라이선스 재 활성)
 - DX TOOL 제공
 - SOLIDWORKS Customer Portal 이용 
    - Service Request / Enhancement Request / Knowledge Base
 - SOLIDWORKS Beta 체험 및 Awards
 - 계약기간 : 1년간 (2018.mm.dd ~ 2019.mm.dd)
 - 대상 S/N :","",shinil,2004-02-20 00:00:00.000,2021-01-19 00:00:00.000,ksd2046
"20040220095827","00.Subscription Service",SOLIDWORKS Subscription Service,SOLIDWORKS Premium Subscription Service," - 설치 매뉴얼 제공
 - 차기 버전 Upgrade 1회
 - On-Line 기술 지원 (전화 및 원격지원)
 - nodeDATA 교육 (1 Seat 당 1명 기준)
 - nodeDATA On-Line 교육(Webcast)
 - nodeDATA 세미나
 - nodeDATA 홈페이지 로열 회원 등급 부여
    - 기술 문서 및 동영상 열람
 - 최신 뉴스레터 제공
 - Disable Request Service(라이선스 재 활성)
 - DX TOOL 제공
 - SOLIDWORKS Customer Portal 이용 
    - Service Request / Enhancement Request / Knowledge Base
 - SOLIDWORKS Beta 체험 및 Awards
 - 계약기간 : 1년간 (2018.mm.dd ~ 2019.mm.dd)
 - 대상 S/N :","",shinil,2004-02-20 00:00:00.000,2021-01-19 00:00:00.000,ksd2046
